Company Name,Date,Next Day Return,Next Week Return,Next Month Return
Cholamandalam Investment and Finance Company Ltd.,40066,-0.049474335,-0.098330241,-0.176252319
Cholamandalam Investment and Finance Company Ltd.,40070,-0.049965777,0.055441478,-0.103353867
Cholamandalam Investment and Finance Company Ltd.,40071,0.050432277,0.097982709,-0.068443804
Cholamandalam Investment and Finance Company Ltd.,40072,0.006858711,-0.004801097,-0.106995885
Cholamandalam Investment and Finance Company Ltd.,40074,-0.011673152,-0.035667964,-0.142023346
Cholamandalam Investment and Finance Company Ltd.,40099,-0.010574018,-0.008308157,-0.145015106
Cholamandalam Investment and Finance Company Ltd.,40123,0.050691244,0.030414747,0.152073733
Cholamandalam Investment and Finance Company Ltd.,40148,0.050470488,0.061591104,0.141146279
Cholamandalam Investment and Finance Company Ltd.,41753,0.004439874,-0.014173514,0.200307374
Cholamandalam Investment and Finance Company Ltd.,41927,0.006489265,0.035415762,0.060052784
Cummins India Ltd.,39933,0.033327137,0.076103535,0.301670584
Cummins India Ltd.,39951,0.0455086,0.057548566,0.1406114
Cummins India Ltd.,40099,0.032400065,0.01768371,0.113538429
Cummins India Ltd.,41100,-0.029562099,-0.017448335,0.036119138
Cummins India Ltd.,41753,-0.028596283,-0.047283811,0.043372468
Cummins India Ltd.,41927,0.010945972,0.020338733,0.264181701
Dewan Housing Finance Corporation Ltd.,39420,0.050073638,0.056553791,0.402650993
Dewan Housing Finance Corporation Ltd.,39443,0.049987257,0.214486106,-0.024738627
Dewan Housing Finance Corporation Ltd.,39444,0.050036375,0.114646535,-0.117561386
Dewan Housing Finance Corporation Ltd.,39448,0.048898705,-0.035682846,-0.122687251
Dewan Housing Finance Corporation Ltd.,39457,-0.008681232,-0.02232325,-0.051880894
Dewan Housing Finance Corporation Ltd.,39469,-0.048282719,-0.008710802,0.031607796
Dewan Housing Finance Corporation Ltd.,39482,0.050083931,0.068296192,-0.111190983
Dewan Housing Finance Corporation Ltd.,39483,0.04678229,-0.033318128,-0.195801044
Dewan Housing Finance Corporation Ltd.,39492,0.027991052,0.020064344,-0.343571979
Dewan Housing Finance Corporation Ltd.,39517,-0.024381748,-0.091605779,-0.149425325
Dewan Housing Finance Corporation Ltd.,39542,0.050043862,0.041264231,0.014486409
Dewan Housing Finance Corporation Ltd.,39545,0.02090301,-0.001254197,-0.046822727
Dewan Housing Finance Corporation Ltd.,39779,-0.029850746,-0.026119403,0.249253672
Dewan Housing Finance Corporation Ltd.,39790,0.042377966,0.022366122,-0.131842219
Dewan Housing Finance Corporation Ltd.,39933,0.038220989,0.036136319,0.512161363
Dewan Housing Finance Corporation Ltd.,39951,-0.0872222,0.126666689,0.556666733
Dewan Housing Finance Corporation Ltd.,39962,0.100306198,0.058575755,0.179938736
Dewan Housing Finance Corporation Ltd.,39965,-0.047668686,-0.016005582,0.083159348
Dewan Housing Finance Corporation Ltd.,40099,0.201470588,0.225294141,0.011176435
Dewan Housing Finance Corporation Ltd.,41753,0.040529011,-0.034342953,0.373506912
Dewan Housing Finance Corporation Ltd.,41927,-0.022935051,0.025414574,0.299860536
Exide Industries Ltd.,39933,0.003861023,-0.021235483,0.245173769
Exide Industries Ltd.,40001,0.034509757,0.007058776,0.421176439
Exide Industries Ltd.,40099,0.049044916,0.119256626,0.181208099
Exide Industries Ltd.,41753,-0.03144165,-0.081671737,0.040260738
Exide Industries Ltd.,41927,-0.020288133,-0.10879153,-0.04557483
Federal Bank Ltd.,39779,-0.005925926,-0.00037037,0.163703704
Federal Bank Ltd.,39933,0.013563884,-0.089095696,0.327925603
Federal Bank Ltd.,40099,0.04350717,0.18068808,0.056825749
Federal Bank Ltd.,41753,-0.006335776,-0.044878566,0.315733931
Federal Bank Ltd.,41927,-0.054297043,0.010427875,0.035598676
GMR Infrastructure Ltd.,39933,0.03094584,0.026966031,0.435896771
GMR Infrastructure Ltd.,40099,0.028490184,0.05057002,-0.017806808
GMR Infrastructure Ltd.,41753,0.011809886,-0.021657477,0.34054848
GMR Infrastructure Ltd.,41927,-0.079364489,-0.031747645,-0.079364489
Glenmark Pharmaceuticals Ltd.,39762,-0.063494442,-0.016059462,-0.163271358
Glenmark Pharmaceuticals Ltd.,39933,0.064949555,0.068589023,0.310470298
Glenmark Pharmaceuticals Ltd.,40099,0.013536026,0.000624715,-0.037276184
Glenmark Pharmaceuticals Ltd.,41424,0.026263111,0.043829918,-0.097138942
Glenmark Pharmaceuticals Ltd.,41753,0.002630656,0.060241977,-0.084180987
Glenmark Pharmaceuticals Ltd.,41927,-0.021776114,-0.039333139,0.045253488
Hexaware Technologies Ltd.,39779,0.005063291,0.010126582,0
Hexaware Technologies Ltd.,39933,0.060065,0.181818247,0.446428571
Hexaware Technologies Ltd.,40099,0.010922354,0.106189318,0.066140727
Hexaware Technologies Ltd.,41753,-0.013024602,-0.122141858,-0.177713441
Hexaware Technologies Ltd.,41927,-0.032782353,0.03774108,0.208539978
IDBI Bank Ltd.,39779,-0.023549234,-0.044575306,0.071488645
IDBI Bank Ltd.,39933,0.017968781,0.049218781,0.461718797
IDBI Bank Ltd.,40099,0.004566256,0.014459734,-0.047945177
IDBI Bank Ltd.,41753,0.010447716,0.017910403,0.337313403
IDBI Bank Ltd.,41927,-0.023558099,0.070674298,0.151909068
Indraprastha Gas Ltd.,39318,0.026466696,0.03308337,0.058667843
Indraprastha Gas Ltd.,39720,-0.035109378,-0.100371669,-0.174308103
Indraprastha Gas Ltd.,39779,-0.799323671,-0.805217391,-0.804830908
Indraprastha Gas Ltd.,39933,-0.000423729,0.052118644,0.116525424
Indraprastha Gas Ltd.,39951,-0.060535545,0.108653473,0.147458285
Indraprastha Gas Ltd.,40099,0.004268293,-0.014634116,0.000304939
Indraprastha Gas Ltd.,41753,-0.004042249,0.007908541,0.151669538
Indraprastha Gas Ltd.,41927,-0.004163681,-0.022245968,0.034856056
Jindal Steel & Power Ltd.,39933,0.01119144,0.020275605,0.265427101
Jindal Steel & Power Ltd.,40099,0.078595565,0.127154049,0.126429372
Jindal Steel & Power Ltd.,41753,0.002917003,-0.069279854,0.03500458
Jindal Steel & Power Ltd.,41927,-0.037261185,-0.073566898,-0.016560548
Jubilant Foodworks Ltd.,41753,-0.000408002,-0.034938285,0.169131888
Jubilant Foodworks Ltd.,41927,-0.004245379,0.01845122,0.185859516
LIC Housing Finance Ltd.,39933,-0.008218025,0.029448047,0.396520973
LIC Housing Finance Ltd.,40099,0.036129071,0.08406451,0.137096774
LIC Housing Finance Ltd.,41753,0.001788589,-0.061348577,0.157217005
LIC Housing Finance Ltd.,41927,-0.017541247,0.001199382,0.263418309
Mahindra & Mahindra Financial Services Ltd.,39764,-0.020366099,-0.020366099,-0.071925778
Mahindra & Mahindra Financial Services Ltd.,39771,-0.025789474,0,-0.056052658
Mahindra & Mahindra Financial Services Ltd.,39933,0.031026791,0.05737498,0.208076823
Mahindra & Mahindra Financial Services Ltd.,39951,-0.01830355,0.008258906,0.258035765
Mahindra & Mahindra Financial Services Ltd.,40099,0.043754993,0.046937153,0.040970586
Mahindra & Mahindra Financial Services Ltd.,41753,0.039199699,0.004695831,0.255206213
Mahindra & Mahindra Financial Services Ltd.,41927,-0.0091071,0.008750043,0.125178529
Manappuram Finance Ltd.,41486,-0.047058824,0.011764706,0.450980392
Manappuram Finance Ltd.,41512,0.049844302,0.158878577,-0.065420503
Manappuram Finance Ltd.,41584,-0.002949911,-0.005899764,-0.047197696
Manappuram Finance Ltd.,41753,-0.00890873,-0.00890873,0.053452069
Manappuram Finance Ltd.,41870,-0.001893939,0.018939394,0.013257576
Manappuram Finance Ltd.,41927,-0.038043514,-0.009057971,0.259057971
Max Financial Services Ltd.,39261,0.049665298,0.051392761,-0.050313146
Max Financial Services Ltd.,39262,0.027566332,-0.014811792,-0.085990573
Max Financial Services Ltd.,39779,0.030851085,-0.007978723,0.228191457
Max Financial Services Ltd.,39933,0.051952704,0.05231102,0.295234655
Max Financial Services Ltd.,40099,0.009356359,0.05925714,0.078253402
Max Financial Services Ltd.,41753,0.026904733,0.017619033,0.2314286
Max Financial Services Ltd.,41927,-0.00442476,0.026548654,0.278128956
Max Financial Services Ltd.,42396,0.049340166,0.064830768,-0.029403327
MindTree Ltd.,39933,0.128782868,0.123519697,0.205263132
MindTree Ltd.,40099,-0.000872753,0.000349017,0.06554722
MindTree Ltd.,41753,-0.001220789,-0.009045341,-0.035547191
MindTree Ltd.,41927,-0.037387647,-0.006521109,0.10361318
Muthoot Finance Ltd.,41551,0.030222682,0.045599097,0.127253442
Muthoot Finance Ltd.,41648,0.077191718,0.071761058,0.036850273
Muthoot Finance Ltd.,41753,0.022478574,0.060928736,0.248742989
Muthoot Finance Ltd.,41927,-0.001856303,-0.012198372,0.023866348
NBCC (India) Ltd.,41017,0.049634796,0.037095611,-0.136363636
NBCC (India) Ltd.,41753,-0.036929082,0.195171009,0.646314336
NBCC (India) Ltd.,41757,0.073252212,0.019174041,0.420110693
NBCC (India) Ltd.,41927,-0.063582617,0.009918525,0.06127365
National Aluminium Co. Ltd.,39933,0.087736116,0.170690975,0.686110473
National Aluminium Co. Ltd.,40099,0.016995087,0.023564695,0.095972588
National Aluminium Co. Ltd.,41753,0,-0.050931652,0.332919304
National Aluminium Co. Ltd.,41927,-0.041906312,-0.031224274,-0.015612096
Oil India Ltd.,41753,0.002634488,-0.032830097,0.254230437
Oil India Ltd.,41927,-0.026484876,0.006599873,0.016628118
Power Finance Corporation Ltd.,39933,-0.461129019,-0.467580632,-0.363709677
Power Finance Corporation Ltd.,40099,-0.487828753,-0.500217359,-0.511301884
Power Finance Corporation Ltd.,41753,-0.018234652,-0.028276903,0.58192386
Power Finance Corporation Ltd.,41927,-0.028279197,0.103890925,0.211592391
Punjab National Bank,39779,0.002814364,-0.031295721,0.122481107
Punjab National Bank,39933,0.055136288,0.100104767,0.392662455
Punjab National Bank,40091,-0.032225158,-0.014495346,0.004791872
Punjab National Bank,40099,0.000117532,0.011633349,0.093125771
Punjab National Bank,40109,-0.069558968,-0.078082024,0.005663686
Punjab National Bank,41753,-0.016396498,-0.026892753,0.223650768
Punjab National Bank,41927,-0.009238287,0.007509449,0.041977249
REC Ltd.,39933,0.048076923,0.219711519,0.364423019
REC Ltd.,40099,0.023762396,0.031188139,0.132425743
REC Ltd.,41753,-0.005940237,-0.025399475,0.367472265
REC Ltd.,41927,-0.020825277,0.099884401,0.293482489
Reliance Infrastructure Ltd.,39779,-0.032168234,-0.026502819,0.042922941
Reliance Infrastructure Ltd.,39933,0.081651809,0.170077835,0.83323731
Reliance Infrastructure Ltd.,40099,-0.027331645,-0.039118885,-0.143546465
Reliance Infrastructure Ltd.,41753,0.00153181,-0.026136896,0.362374342
Reliance Infrastructure Ltd.,41927,-0.044945807,0.012504414,0.116561779
SRF Ltd.,39933,0.020443926,0.046144919,0.436331774
SRF Ltd.,40099,-0.015768725,0.151642607,0.045992116
SRF Ltd.,41607,0.271428571,0.195714286,0.295142823
SRF Ltd.,41704,0.0210947,0.086561146,0.287143039
SRF Ltd.,41739,-0.002638568,0.015579801,-0.023998034
SRF Ltd.,41753,-0.009437523,-0.023405103,0.108342739
SRF Ltd.,41927,-0.062366084,-0.042434649,0.215244976
Sun TV Network Ltd.,39933,0.044504038,0.186058965,0.36353889
Sun TV Network Ltd.,40099,0.014174417,0.040031171,-0.033489097
Sun TV Network Ltd.,41753,0.006962906,-0.047980786,0.100392436
Sun TV Network Ltd.,41927,-0.005361475,0.007148699,0.028269738
TVS Motor Company Ltd.,39933,0.067484728,0.061349697,0.404908062
TVS Motor Company Ltd.,40099,0.003508772,0.078070175,0.056140351
TVS Motor Company Ltd.,41753,-0.011925076,0.083475284,0.464508718
TVS Motor Company Ltd.,41927,-0.001999165,0.157263408,0.045091043
Tata Chemicals Ltd.,39297,-0.01392158,-0.003137267,-0.011568616
Tata Chemicals Ltd.,39779,0.065514805,0.042476669,0.1353492
Tata Chemicals Ltd.,39933,0.088046682,0.095335312,0.320991271
Tata Chemicals Ltd.,40099,0.018953069,0.036642578,0.033032469
Tata Chemicals Ltd.,41753,-0.00387804,0.002467872,0.111228693
Tata Chemicals Ltd.,41927,-0.01059618,0.003957661,0.082599276
Tata Global Beverages Ltd.,39933,0.00389606,0.021067806,-0.00808088
Tata Global Beverages Ltd.,40099,0.004290618,-0.003832952,0.058237939
Tata Global Beverages Ltd.,41753,-0.020179429,-0.042600953,-0.003523402
Tata Global Beverages Ltd.,41927,-0.025895065,-0.005434725,0.022378517
Tata Power Co. Ltd.,39933,0.01128279,0.017706125,0.231173706
Tata Power Co. Ltd.,40099,0.021519373,0.079805264,0.01019633
Tata Power Co. Ltd.,41753,-0.007172731,-0.066347924,0.188882183
Tata Power Co. Ltd.,41927,-0.036802727,0.010925877,0.01840145
The Ramco Cements Ltd.,39933,0.014925323,0.117537261,0.33022381
The Ramco Cements Ltd.,40099,-0.009490932,-0.009490932,-0.105263199
The Ramco Cements Ltd.,41753,-0.02179399,-0.00619404,0.259692552
The Ramco Cements Ltd.,41927,0.00567721,0.01297648,0.148256324
Torrent Pharmaceuticals Ltd.,39227,-0.018796993,0.033438853,-0.043529878
Torrent Pharmaceuticals Ltd.,39779,0.000414627,-0.012023184,0.051824213
Torrent Pharmaceuticals Ltd.,39933,0.01362862,0.075638882,0.179897744
Torrent Pharmaceuticals Ltd.,40099,0.013517896,0.12198701,0.214657961
Torrent Pharmaceuticals Ltd.,41753,0.000714285,0.032234999,0.133404787
Torrent Pharmaceuticals Ltd.,41927,-0.013771528,-0.020450367,0.143389073
Torrent Pharmaceuticals Ltd.,42228,0.015265164,0.07317893,0.027316583
Torrent Power Ltd.,39933,0.055050475,0.098989929,0.445959535
Torrent Power Ltd.,40099,-0.008913536,0.009249916,0.116044404
Torrent Power Ltd.,41498,0.007873943,-0.073288949,-0.103573624
Torrent Power Ltd.,41753,-0.024773693,-0.006193368,0.528823264
Torrent Power Ltd.,41927,-0.03892948,0.096280782,0.085853253
Union Bank of India,39779,0.03763062,0.002787415,0.094773561
Union Bank of India,39933,0.057993232,-0.021785843,0.223074604
Union Bank of India,40093,-0.017276423,0.004065041,0.009349606
Union Bank of India,40095,0.011428584,0.06122449,0.090612294
Union Bank of India,40099,0.010323899,0.107287449,0.092712526
Union Bank of India,40101,0.063461538,0.043461492,0.015576877
Union Bank of India,41753,0.026501153,0.014089171,0.441462608
Union Bank of India,41927,-0.017419949,0.034604549,0.040254253
Voltas Ltd.,39933,0.0941667,0.1125,0.5558333
Voltas Ltd.,40099,0.038616001,0.01853568,0.037689161
Voltas Ltd.,41753,-0.011183014,-0.079752728,0.108004748
Voltas Ltd.,41927,-0.056280738,-0.001497929,0.194735721
